Atomic Number	Atomic Symbol	Mass Number	Relative Atomic Mass (monoisotopic)	Relative Atomic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight (average mass)	Standard Weight Uncertainty	Notes
10	Ne	16	16.02575	2.2E-05			20.1797	0.0006	g,m
10	Ne	17	17.01771396	3.8E-07			20.1797	0.0006	g,m
10	Ne	18	18.0057087	3.9E-07			20.1797	0.0006	g,m
10	Ne	19	19.00188091	1.7E-07			20.1797	0.0006	g,m
10	Ne	20	19.9924401762	1.7E-09	0.9048	0.0003	20.1797	0.0006	g,m
10	Ne	21	20.993846685	4.1E-08	0.0027	0.0001	20.1797	0.0006	g,m
10	Ne	22	21.991385114	1.8E-08	0.0925	0.0003	20.1797	0.0006	g,m
10	Ne	23	22.99446691	1.1E-07			20.1797	0.0006	g,m
10	Ne	24	23.99361065	5.5E-07			20.1797	0.0006	g,m
10	Ne	25	24.997789	4.8E-05			20.1797	0.0006	g,m
10	Ne	26	26.000515	2E-05			20.1797	0.0006	g,m
10	Ne	27	27.007553	7E-05			20.1797	0.0006	g,m
10	Ne	28	28.01212	0.0001			20.1797	0.0006	g,m
10	Ne	29	29.01975	0.00011			20.1797	0.0006	g,m
10	Ne	30	30.02473	0.0003			20.1797	0.0006	g,m
10	Ne	31	31.0331	0.0017			20.1797	0.0006	g,m
10	Ne	32	32.03972	0.00054			20.1797	0.0006	g,m
10	Ne	33	33.04938	0.00064			20.1797	0.0006	g,m
10	Ne	34	34.05673	0.00055			20.1797	0.0006	g,m
11	Na	18	18.02688	0.00012			22.98976928	2E-08	
11	Na	19	19.01388	1.1E-05			22.98976928	2E-08	
11	Na	20	20.0073544	1.2E-06			22.98976928	2E-08	
11	Na	21	20.99765469	3E-07			22.98976928	2E-08	
11	Na	22	21.99443741	1.8E-07			22.98976928	2E-08	
11	Na	23	22.989769282	1.9E-09	1		22.98976928	2E-08	
11	Na	24	23.99096295	3.8E-08			22.98976928	2E-08	
11	Na	25	24.989954	1.3E-06			22.98976928	2E-08	
11	Na	26	25.9926346	3.8E-06			22.98976928	2E-08	
11	Na	27	26.9940765	4E-06			22.98976928	2E-08	
11	Na	28	27.998939	1.1E-05			22.98976928	2E-08	
11	Na	29	29.0028771	7.9E-06			22.98976928	2E-08	
11	Na	30	30.0090979	5.1E-06			22.98976928	2E-08	
11	Na	31	31.013163	2.5E-05			22.98976928	2E-08	
11	Na	32	32.02019	0.00013			22.98976928	2E-08	
11	Na	33	33.02573	0.00064			22.98976928	2E-08	
11	Na	34	34.03359	0.00054			22.98976928	2E-08	
11	Na	35	35.04062	0.00063			22.98976928	2E-08	
11	Na	36	36.04929	0.00064			22.98976928	2E-08	
11	Na	37	37.05705	0.00065			22.98976928	2E-08	
12	Mg	19	19.034169	5.4E-05			24.305	0.0015	
12	Mg	20	20.01885	2.9E-05			24.305	0.0015	
12	Mg	21	21.011716	1.8E-05			24.305	0.0015	
12	Mg	22	21.99957065	3.4E-07			24.305	0.0015	
12	Mg	23	22.99412421	7.4E-07			24.305	0.0015	
12	Mg	24	23.985041697	1.4E-08	0.7899	0.0004	24.305	0.0015	
12	Mg	25	24.985836976	5E-08	0.1	0.0001	24.305	0.0015	
12	Mg	26	25.982592968	3.1E-08	0.1101	0.0003	24.305	0.0015	
12	Mg	27	26.984340624	5.3E-08			24.305	0.0015	
12	Mg	28	27.9838767	2.2E-06			24.305	0.0015	
12	Mg	29	28.988617	1.2E-05			24.305	0.0015	
12	Mg	30	29.9904629	3.7E-06			24.305	0.0015	
12	Mg	31	30.996648	3.3E-06			24.305	0.0015	
12	Mg	32	31.9991102	3.4E-06			24.305	0.0015	
12	Mg	33	33.0053271	3.1E-06			24.305	0.0015	
12	Mg	34	34.008935	3.1E-05			24.305	0.0015	
12	Mg	35	35.01679	0.00019			24.305	0.0015	
12	Mg	36	36.02188	0.00049			24.305	0.0015	
12	Mg	37	37.03037	0.00054			24.305	0.0015	
12	Mg	38	38.03658	0.00054			24.305	0.0015	
12	Mg	39	39.04538	0.00055			24.305	0.0015	
12	Mg	40	40.05218	0.00064			24.305	0.0015	
13	Al	21	21.02897	0.00043			26.9815385	7E-07	
13	Al	22	22.01954	0.00043			26.9815385	7E-07	
13	Al	23	23.00724435	3.7E-07			26.9815385	7E-07	
13	Al	24	23.9999489	1.2E-06			26.9815385	7E-07	
13	Al	25	24.9904281	5.1E-07			26.9815385	7E-07	
13	Al	26	25.986891904	6.9E-08			26.9815385	7E-07	
13	Al	27	26.98153853	1.1E-07	1		26.9815385	7E-07	
13	Al	28	27.98191021	1.3E-07			26.9815385	7E-07	
13	Al	29	28.9804565	1E-06			26.9815385	7E-07	
13	Al	30	29.98296	1.5E-05			26.9815385	7E-07	
13	Al	31	30.983945	2.2E-05			26.9815385	7E-07	
13	Al	32	31.988085	1.3E-05			26.9815385	7E-07	
13	Al	33	32.990909	8.1E-05			26.9815385	7E-07	
13	Al	34	33.996705	7.4E-05			26.9815385	7E-07	
13	Al	35	34.999764	7.5E-05			26.9815385	7E-07	
13	Al	36	36.00639	0.00011			26.9815385	7E-07	
13	Al	37	37.01053	0.00013			26.9815385	7E-07	
13	Al	38	38.0174	0.00027			26.9815385	7E-07	
13	Al	39	39.02254	0.00054			26.9815385	7E-07	
13	Al	40	40.03003	0.00054			26.9815385	7E-07	
13	Al	41	41.03638	0.00064			26.9815385	7E-07	
13	Al	42	42.04384	0.00064			26.9815385	7E-07	
13	Al	43	43.05147	0.00075			26.9815385	7E-07	
14	Si	22	22.03579	0.00054			28.085	0.001	
14	Si	23	23.02544	0.00054			28.085	0.001	
14	Si	24	24.011535	2.1E-05			28.085	0.001	
14	Si	25	25.004109	1.1E-05			28.085	0.001	
14	Si	26	25.99233384	1.1E-07			28.085	0.001	
14	Si	27	26.98670481	1.5E-07			28.085	0.001	
14	Si	28	27.97692653465	4.4E-10	0.92223	0.00019	28.085	0.001	
14	Si	29	28.9764946649	5.2E-10	0.04685	8E-05	28.085	0.001	
14	Si	30	29.973770136	2.3E-08	0.03092	0.00011	28.085	0.001	
14	Si	31	30.975363194	4.6E-08			28.085	0.001	
14	Si	32	31.97415154	3.2E-07			28.085	0.001	
14	Si	33	32.97797696	7.5E-07			28.085	0.001	
14	Si	34	33.978576	1.5E-05			28.085	0.001	
14	Si	35	34.984583	4.1E-05			28.085	0.001	
14	Si	36	35.986695	7.7E-05			28.085	0.001	
14	Si	37	36.992921	8.9E-05			28.085	0.001	
14	Si	38	37.995523	7.5E-05			28.085	0.001	
14	Si	39	39.002491	9.7E-05			28.085	0.001	
14	Si	40	40.00583	0.00025			28.085	0.001	
14	Si	41	41.01301	0.0004			28.085	0.001	
14	Si	42	42.01778	0.00054			28.085	0.001	
14	Si	43	43.0248	0.00064			28.085	0.001	
14	Si	44	44.03061	0.00064			28.085	0.001	
14	Si	45	45.03995	0.00075			28.085	0.001	
15	P	24	24.03577	0.00054			30.973761998	5E-09	
15	P	25	25.02119	0.00043			30.973761998	5E-09	
15	P	26	26.01178	0.00021			30.973761998	5E-09	
15	P	27	26.999224	2.8E-05			30.973761998	5E-09	
15	P	28	27.9923266	1.2E-06			30.973761998	5E-09	
15	P	29	28.98180079	6E-07			30.973761998	5E-09	
15	P	30	29.97831375	3.4E-07			30.973761998	5E-09	
15	P	31	30.97376199842	7E-10	1		30.973761998	5E-09	
15	P	32	31.973907643	4.2E-08			30.973761998	5E-09	
15	P	33	32.9717257	1.2E-06			30.973761998	5E-09	
15	P	34	33.97364589	8.7E-07			30.973761998	5E-09	
15	P	35	34.9733141	2E-06			30.973761998	5E-09	
15	P	36	35.97826	1.4E-05			30.973761998	5E-09	
15	P	37	36.979607	4.1E-05			30.973761998	5E-09	
15	P	38	37.984252	9.3E-05			30.973761998	5E-09	
15	P	39	38.986227	9.8E-05			30.973761998	5E-09	
15	P	40	39.99133	0.00012			30.973761998	5E-09	
15	P	41	40.994654	8.6E-05			30.973761998	5E-09	
15	P	42	42.00108	0.00023			30.973761998	5E-09	
15	P	43	43.00502	0.0004			30.973761998	5E-09	
15	P	44	44.01121	0.00054			30.973761998	5E-09	
15	P	45	45.01645	0.00064			30.973761998	5E-09	
15	P	46	46.02446	0.00075			30.973761998	5E-09	
15	P	47	47.03139	0.00086			30.973761998	5E-09	
16	S	26	26.02907	0.00064			32.06	0.0085	
16	S	27	27.01828	0.00043			32.06	0.0085	
16	S	28	28.00437	0.00017			32.06	0.0085	
16	S	29	28.996611	5.4E-05			32.06	0.0085	
16	S	30	29.98490703	4E-07			32.06	0.0085	
16	S	31	30.97955701	2.5E-07			32.06	0.0085	
16	S	32	31.9720711744	1.4E-09	0.9499	0.0026	32.06	0.0085	
16	S	33	32.9714589098	1.5E-09	0.0075	0.0002	32.06	0.0085	
16	S	34	33.967867004	4.7E-08	0.0425	0.0024	32.06	0.0085	
16	S	35	34.96903231	4.3E-08			32.06	0.0085	
16	S	36	35.96708071	2E-07	0.0001	0.0001	32.06	0.0085	
16	S	37	36.97112551	2.1E-07			32.06	0.0085	
16	S	38	37.9711633	7.7E-06			32.06	0.0085	
16	S	39	38.975134	5.4E-05			32.06	0.0085	
16	S	40	39.9754826	4.3E-06			32.06	0.0085	
16	S	41	40.9795935	4.4E-06			32.06	0.0085	
16	S	42	41.9810651	3E-06			32.06	0.0085	
16	S	43	42.9869076	5.3E-06			32.06	0.0085	
16	S	44	43.9901188	5.6E-06			32.06	0.0085	
16	S	45	44.99572	0.00074			32.06	0.0085	
16	S	46	46.00004	0.00054			32.06	0.0085	
16	S	47	47.00795	0.00054			32.06	0.0085	
16	S	48	48.0137	0.00064			32.06	0.0085	
16	S	49	49.02276	0.00072			32.06	0.0085	
17	Cl	28	28.02954	0.00064			35.45	0.0055	m
17	Cl	29	29.01478	0.00043			35.45	0.0055	m
17	Cl	30	30.00477	0.00021			35.45	0.0055	m
17	Cl	31	30.992414	5.4E-05			35.45	0.0055	m
17	Cl	32	31.98568464	6E-07			35.45	0.0055	m
17	Cl	33	32.97745199	4.2E-07			35.45	0.0055	m
17	Cl	34	33.973762485	5.2E-08			35.45	0.0055	m
17	Cl	35	34.968852682	3.7E-08	0.7576	0.001	35.45	0.0055	m
17	Cl	36	35.968306809	3.8E-08			35.45	0.0055	m
17	Cl	37	36.965902602	5.5E-08	0.2424	0.001	35.45	0.0055	m
17	Cl	38	37.96801044	1.1E-07			35.45	0.0055	m
17	Cl	39	38.9680082	1.9E-06			35.45	0.0055	m
17	Cl	40	39.970415	3.4E-05			35.45	0.0055	m
17	Cl	41	40.970685	7.4E-05			35.45	0.0055	m
17	Cl	42	41.97325	0.00015			35.45	0.0055	m
17	Cl	43	42.97389	0.0001			35.45	0.0055	m
17	Cl	44	43.97787	0.0002			35.45	0.0055	m
17	Cl	45	44.98029	0.00011			35.45	0.0055	m
17	Cl	46	45.98517	0.00017			35.45	0.0055	m
17	Cl	47	46.98916	0.00043			35.45	0.0055	m
17	Cl	48	47.99564	0.00054			35.45	0.0055	m
17	Cl	49	49.00123	0.00064			35.45	0.0055	m
17	Cl	50	50.00905	0.00064			35.45	0.0055	m
17	Cl	51	51.01554	0.00075			35.45	0.0055	m
18	Ar	30	30.02307	0.00054			39.948	0.001	g,r
18	Ar	31	31.01212	0.00022			39.948	0.001	g,r
18	Ar	32	31.9976378	1.9E-06			39.948	0.001	g,r
18	Ar	33	32.98992555	4.3E-07			39.948	0.001	g,r
18	Ar	34	33.98027009	8.3E-08			39.948	0.001	g,r
18	Ar	35	34.97525759	8E-07			39.948	0.001	g,r
18	Ar	36	35.967545105	2.8E-08	0.003336	2.1E-05	39.948	0.001	g,r
18	Ar	37	36.96677633	2.2E-07			39.948	0.001	g,r
18	Ar	38	37.96273211	2.1E-07	0.000629	7E-06	39.948	0.001	g,r
18	Ar	39	38.964313	5.4E-06			39.948	0.001	g,r
18	Ar	40	39.9623831237	2.4E-09	0.996035	2.5E-05	39.948	0.001	g,r
18	Ar	41	40.96450057	3.7E-07			39.948	0.001	g,r
18	Ar	42	41.9630457	6.2E-06			39.948	0.001	g,r
18	Ar	43	42.9656361	5.7E-06			39.948	0.001	g,r
18	Ar	44	43.9649238	1.7E-06			39.948	0.001	g,r
18	Ar	45	44.96803973	5.5E-07			39.948	0.001	g,r
18	Ar	46	45.968083	4.4E-05			39.948	0.001	g,r
18	Ar	47	46.972935	9.6E-05			39.948	0.001	g,r
18	Ar	48	47.97591	0.00032			39.948	0.001	g,r
18	Ar	49	48.9819	0.00043			39.948	0.001	g,r
18	Ar	50	49.98613	0.00054			39.948	0.001	g,r
18	Ar	51	50.9937	0.00064			39.948	0.001	g,r
18	Ar	52	51.99896	0.00064			39.948	0.001	g,r
18	Ar	53	53.00729	0.00075			39.948	0.001	g,r
19	K	32	32.02265	0.00054			39.0983	0.0001	
19	K	33	33.00756	0.00021			39.0983	0.0001	
19	K	34	33.99869	0.00032			39.0983	0.0001	
19	K	35	34.98800541	5.5E-07			39.0983	0.0001	
19	K	36	35.98130201	3.7E-07			39.0983	0.0001	
19	K	37	36.97337589	1E-07			39.0983	0.0001	
19	K	38	37.96908112	2.1E-07			39.0983	0.0001	
19	K	39	38.9637064864	4.9E-09	0.932581	4.4E-05	39.0983	0.0001	
19	K	40	39.963998166	6E-08	0.000117	1E-06	39.0983	0.0001	
19	K	41	40.9618252579	4.1E-09	0.067302	4.4E-05	39.0983	0.0001	
19	K	42	41.96240231	1.1E-07			39.0983	0.0001	
19	K	43	42.9607347	4.4E-07			39.0983	0.0001	
19	K	44	43.96158699	4.5E-07			39.0983	0.0001	
19	K	45	44.96069149	5.6E-07			39.0983	0.0001	
19	K	46	45.96198159	7.8E-07			39.0983	0.0001	
19	K	47	46.9616616	1.5E-06			39.0983	0.0001	
19	K	48	47.96534119	8.3E-07			39.0983	0.0001	
19	K	49	48.96821075	8.6E-07			39.0983	0.0001	
19	K	50	49.97238	8.3E-06			39.0983	0.0001	
19	K	51	50.975828	1.4E-05			39.0983	0.0001	
19	K	52	51.98224	0.00043			39.0983	0.0001	
19	K	53	52.98746	0.00054			39.0983	0.0001	
19	K	54	53.99463	0.00064			39.0983	0.0001	
19	K	55	55.00076	0.00075			39.0983	0.0001	
19	K	56	56.00851	0.00086			39.0983	0.0001	
20	Ca	34	34.01487	0.00032			40.078	0.004	g
20	Ca	35	35.00514	0.00021			40.078	0.004	g
20	Ca	36	35.993074	4.3E-05			40.078	0.004	g
20	Ca	37	36.98589785	6.8E-07			40.078	0.004	g
20	Ca	38	37.97631922	2.1E-07			40.078	0.004	g
20	Ca	39	38.97071081	6.4E-07			40.078	0.004	g
20	Ca	40	39.962590863	2.2E-08	0.96941	0.00156	40.078	0.004	g
20	Ca	41	40.96227792	1.5E-07			40.078	0.004	g
20	Ca	42	41.95861783	1.6E-07	0.00647	0.00023	40.078	0.004	g
20	Ca	43	42.95876644	2.4E-07	0.00135	0.0001	40.078	0.004	g
20	Ca	44	43.95548156	3.5E-07	0.02086	0.0011	40.078	0.004	g
20	Ca	45	44.95618635	3.9E-07			40.078	0.004	g
20	Ca	46	45.953689	2.4E-06	4E-05	3E-05	40.078	0.004	g
20	Ca	47	46.9545424	2.4E-06			40.078	0.004	g
20	Ca	48	47.95252276	1.3E-07	0.00187	0.00021	40.078	0.004	g
20	Ca	49	48.95566274	2.3E-07			40.078	0.004	g
20	Ca	50	49.9574992	1.7E-06			40.078	0.004	g
20	Ca	51	50.960989	2.4E-05			40.078	0.004	g
20	Ca	52	51.963217	6.4E-05			40.078	0.004	g
20	Ca	53	52.96945	0.00043			40.078	0.004	g
20	Ca	54	53.9734	0.00054			40.078	0.004	g
20	Ca	55	54.9803	0.00054			40.078	0.004	g
20	Ca	56	55.98508	0.00064			40.078	0.004	g
20	Ca	57	56.99262	0.00064			40.078	0.004	g
20	Ca	58	57.99794	0.00075			40.078	0.004	g
21	Sc	36	36.01648	0.00032			44.955908	5E-06	
21	Sc	37	37.00374	0.00032			44.955908	5E-06	
21	Sc	38	37.99512	0.00021			44.955908	5E-06	
21	Sc	39	38.984785	2.6E-05			44.955908	5E-06	
21	Sc	40	39.9779673	3E-06			44.955908	5E-06	
21	Sc	41	40.969251105	8.8E-08			44.955908	5E-06	
21	Sc	42	41.96551653	1.8E-07			44.955908	5E-06	
21	Sc	43	42.9611505	2E-06			44.955908	5E-06	
21	Sc	44	43.9594029	1.9E-06			44.955908	5E-06	
21	Sc	45	44.95590828	7.7E-07	1		44.955908	5E-06	
21	Sc	46	45.95516826	7.8E-07			44.955908	5E-06	
21	Sc	47	46.9524037	2.1E-06			44.955908	5E-06	
21	Sc	48	47.9522236	5.3E-06			44.955908	5E-06	
21	Sc	49	48.9500146	2.9E-06			44.955908	5E-06	
21	Sc	50	49.952176	1.6E-05			44.955908	5E-06	
21	Sc	51	50.953592	2.1E-05			44.955908	5E-06	
21	Sc	52	51.95688	0.00015			44.955908	5E-06	
21	Sc	53	52.95909	0.00029			44.955908	5E-06	
21	Sc	54	53.96393	0.00039			44.955908	5E-06	
21	Sc	55	54.96782	0.0005			44.955908	5E-06	
21	Sc	56	55.97345	0.00043			44.955908	5E-06	
21	Sc	57	56.97777	0.00054			44.955908	5E-06	
21	Sc	58	57.98403	0.00064			44.955908	5E-06	
21	Sc	59	58.98894	0.00064			44.955908	5E-06	
21	Sc	60	59.99565	0.00075			44.955908	5E-06	
21	Sc	61	61.001	0.00086			44.955908	5E-06	
22	Ti	38	38.01145	0.00032			47.867	0.001	
22	Ti	39	39.00236	0.00022			47.867	0.001	
22	Ti	40	39.9905	0.00017			47.867	0.001	
22	Ti	41	40.983148	3E-05			47.867	0.001	
22	Ti	42	41.97304903	3E-07			47.867	0.001	
22	Ti	43	42.9685225	7.8E-06			47.867	0.001	
22	Ti	44	43.95968995	7.5E-07			47.867	0.001	
22	Ti	45	44.95812198	9.5E-07			47.867	0.001	
22	Ti	46	45.95262772	3.5E-07	0.0825	0.0003	47.867	0.001	
22	Ti	47	46.95175879	3.8E-07	0.0744	0.0002	47.867	0.001	
22	Ti	48	47.94794198	3.8E-07	0.7372	0.0003	47.867	0.001	
22	Ti	49	48.94786568	3.9E-07	0.0541	0.0002	47.867	0.001	
22	Ti	50	49.94478689	3.9E-07	0.0518	0.0002	47.867	0.001	
22	Ti	51	50.94661065	6.5E-07			47.867	0.001	
22	Ti	52	51.946893	7.6E-06			47.867	0.001	
22	Ti	53	52.94973	0.00011			47.867	0.001	
22	Ti	54	53.95105	0.00013			47.867	0.001	
22	Ti	55	54.95527	0.00017			47.867	0.001	
22	Ti	56	55.95791	0.00015			47.867	0.001	
22	Ti	57	56.96364	0.00027			47.867	0.001	
22	Ti	58	57.9666	0.00043			47.867	0.001	
22	Ti	59	58.97247	0.00043			47.867	0.001	
22	Ti	60	59.97603	0.00054			47.867	0.001	
22	Ti	61	60.98245	0.00064			47.867	0.001	
22	Ti	62	61.98651	0.00075			47.867	0.001	
22	Ti	63	62.99375	0.00075			47.867	0.001	
23	V	40	40.01276	0.00043			50.9415	0.0001	
23	V	41	41.00021	0.00032			50.9415	0.0001	
23	V	42	41.99182	0.00032			50.9415	0.0001	
23	V	43	42.980766	4.6E-05			50.9415	0.0001	
23	V	44	43.97411	0.0002			50.9415	0.0001	
23	V	45	44.9657748	8.6E-06			50.9415	0.0001	
23	V	46	45.96019878	3.6E-07			50.9415	0.0001	
23	V	47	46.95490491	3.6E-07			50.9415	0.0001	
23	V	48	47.9522522	1.1E-06			50.9415	0.0001	
23	V	49	48.9485118	9.6E-07			50.9415	0.0001	
23	V	50	49.94715601	9.5E-07	0.0025	4E-05	50.9415	0.0001	
23	V	51	50.94395704	9.4E-07	0.9975	4E-05	50.9415	0.0001	
23	V	52	51.94477301	9.5E-07			50.9415	0.0001	
23	V	53	52.9443367	3.4E-06			50.9415	0.0001	
23	V	54	53.946439	1.6E-05			50.9415	0.0001	
23	V	55	54.94724	0.0001			50.9415	0.0001	
23	V	56	55.95048	0.00019			50.9415	0.0001	
23	V	57	56.95252	0.00024			50.9415	0.0001	
23	V	58	57.95672	0.00014			50.9415	0.0001	
23	V	59	58.95939	0.00017			50.9415	0.0001	
23	V	60	59.96431	0.00024			50.9415	0.0001	
23	V	61	60.96725	0.00096			50.9415	0.0001	
23	V	62	61.97265	0.00032			50.9415	0.0001	
23	V	63	62.97639	0.00043			50.9415	0.0001	
