Atomic Number	Atomic Symbol	Mass Number	Relative Atomic Mass (monoisotopic)	Relative Atomic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight (average mass)	Standard Weight Uncertainty	Notes
1	H	1	1.00782503223	9E-11	0.999885	7E-05	1.008	0.000135	m
1	D	2	2.01410177812	1.2E-10	0.000115	7E-05	1.008	0.000135	m
1	T	3	3.0160492779	2.4E-09			1.008	0.000135	m
1	H	4	4.02643	0.00011			1.008	0.000135	m
1	H	5	5.035311	9.6E-05			1.008	0.000135	m
1	H	6	6.04496	0.00027			1.008	0.000135	m
1	H	7	7.0527	0.0011			1.008	0.000135	m
2	He	3	3.0160293201	2.5E-09	1.34E-06	3E-08	4.002602	2E-06	g,r
2	He	4	4.00260325413	6E-11	0.99999866	3E-08	4.002602	2E-06	g,r
2	He	5	5.012057	2.1E-05			4.002602	2E-06	g,r
2	He	6	6.018885891	5.7E-08			4.002602	2E-06	g,r
2	He	7	7.0279907	8.1E-06			4.002602	2E-06	g,r
2	He	8	8.03393439	9.5E-08			4.002602	2E-06	g,r
2	He	9	9.043946	5E-05			4.002602	2E-06	g,r
2	He	10	10.05279	0.00011			4.002602	2E-06	g,r
3	Li	3	3.0308	0.0021			6.94	0.0295	m
3	Li	4	4.02719	0.00023			6.94	0.0295	m
3	Li	5	5.012538	5.4E-05			6.94	0.0295	m
3	Li	6	6.0151228874	1.6E-09	0.0759	0.0004	6.94	0.0295	m
3	Li	7	7.0160034366	4.5E-09	0.9241	0.0004	6.94	0.0295	m
3	Li	8	8.022486246	5E-08			6.94	0.0295	m
3	Li	9	9.02679019	2E-07			6.94	0.0295	m
3	Li	10	10.035483	1.4E-05			6.94	0.0295	m
3	Li	11	11.04372358	6.6E-07			6.94	0.0295	m
3	Li	12	12.052517	1.6E-05			6.94	0.0295	m
3	Li	13	13.06263	0.00038			6.94	0.0295	m
4	Be	5	5.0399	0.0022			9.0121831	5E-07	
4	Be	6	6.0197264	5.8E-06			9.0121831	5E-07	
4	Be	7	7.016928717	7.6E-08			9.0121831	5E-07	
4	Be	8	8.005305102	3.7E-08			9.0121831	5E-07	
4	Be	9	9.012183065	8.2E-08	1		9.0121831	5E-07	
4	Be	10	10.013534695	8.6E-08			9.0121831	5E-07	
4	Be	11	11.02166108	2.6E-07			9.0121831	5E-07	
4	Be	12	12.0269221	2E-06			9.0121831	5E-07	
4	Be	13	13.036135	1.1E-05			9.0121831	5E-07	
4	Be	14	14.04289	0.00014			9.0121831	5E-07	
4	Be	15	15.05342	0.00043			9.0121831	5E-07	
4	Be	16	16.06167	0.00018			9.0121831	5E-07	
5	B	6	6.0508	0.0022			10.81	0.0075	m
5	B	7	7.029712	2.7E-05			10.81	0.0075	m
5	B	8	8.0246073	1.1E-06			10.81	0.0075	m
5	B	9	9.01332965	9.7E-07			10.81	0.0075	m
5	B	10	10.01293695	4.1E-07	0.199	0.007	10.81	0.0075	m
5	B	11	11.00930536	4.5E-07	0.801	0.007	10.81	0.0075	m
5	B	12	12.0143527	1.4E-06			10.81	0.0075	m
5	B	13	13.0177802	1.2E-06			10.81	0.0075	m
5	B	14	14.025404	2.3E-05			10.81	0.0075	m
5	B	15	15.031088	2.3E-05			10.81	0.0075	m
5	B	16	16.039842	2.6E-05			10.81	0.0075	m
5	B	17	17.04699	0.00018			10.81	0.0075	m
5	B	18	18.05566	0.00018			10.81	0.0075	m
5	B	19	19.0631	0.00043			10.81	0.0075	m
5	B	20	20.07207	0.00075			10.81	0.0075	m
5	B	21	21.08129	0.00097			10.81	0.0075	m
6	C	8	8.037643	2E-05			12.011	0.001	
6	C	9	9.0310372	2.3E-06			12.011	0.001	
6	C	10	10.01685331	4.2E-07			12.011	0.001	
6	C	11	11.0114336	1E-06			12.011	0.001	
6	C	12	12	0	0.9893	0.0008	12.011	0.001	
6	C	13	13.00335483507	2.3E-10	0.0107	0.0008	12.011	0.001	
6	C	14	14.0032419884	4E-09			12.011	0.001	
6	C	15	15.01059926	8.6E-07			12.011	0.001	
6	C	16	16.0147013	3.8E-06			12.011	0.001	
6	C	17	17.022577	1.9E-05			12.011	0.001	
6	C	18	18.026751	3.2E-05			12.011	0.001	
6	C	19	19.0348	0.00011			12.011	0.001	
6	C	20	20.04032	0.00026			12.011	0.001	
6	C	21	21.049	0.00043			12.011	0.001	
6	C	22	22.05753	0.00026			12.011	0.001	
6	C	23	23.0689	0.0011			12.011	0.001	
7	N	10	10.04165	0.00043			14.007	0.000425	
7	N	11	11.026091	5E-05			14.007	0.000425	
7	N	12	12.0186132	1.1E-06			14.007	0.000425	
7	N	13	13.00573861	2.9E-07			14.007	0.000425	
7	N	14	14.00307400443	2E-10	0.99636	0.0002	14.007	0.000425	
7	N	15	15.00010889888	6.4E-10	0.00364	0.0002	14.007	0.000425	
7	N	16	16.0061019	2.5E-06			14.007	0.000425	
7	N	17	17.008449	1.6E-05			14.007	0.000425	
7	N	18	18.014078	2E-05			14.007	0.000425	
7	N	19	19.017022	1.8E-05			14.007	0.000425	
7	N	20	20.023366	6E-05			14.007	0.000425	
7	N	21	21.02711	0.0001			14.007	0.000425	
7	N	22	22.03439	0.00021			14.007	0.000425	
7	N	23	23.04114	0.00032			14.007	0.000425	
7	N	24	24.05039	0.00043			14.007	0.000425	
7	N	25	25.0601	0.00054			14.007	0.000425	
8	O	12	12.034262	2.6E-05			15.999	0.00037	
8	O	13	13.024815	1E-05			15.999	0.00037	
8	O	14	14.00859636	1.2E-07			15.999	0.00037	
8	O	15	15.00306562	5.3E-07			15.999	0.00037	
8	O	16	15.99491461957	1.7E-10	0.99757	0.00016	15.999	0.00037	
8	O	17	16.9991317565	6.9E-10	0.00038	1E-05	15.999	0.00037	
8	O	18	17.99915961286	7.6E-10	0.00205	0.00014	15.999	0.00037	
8	O	19	19.003578	2.8E-06			15.999	0.00037	
8	O	20	20.00407535	9.5E-07			15.999	0.00037	
8	O	21	21.008655	1.3E-05			15.999	0.00037	
8	O	22	22.009966	6.1E-05			15.999	0.00037	
8	O	23	23.015696	9.7E-05			15.999	0.00037	
8	O	24	24.01986	0.00012			15.999	0.00037	
8	O	25	25.02936	0.00012			15.999	0.00037	
8	O	26	26.03729	0.00017			15.999	0.00037	
8	O	27	27.04772	0.00054			15.999	0.00037	
8	O	28	28.05591	0.00075			15.999	0.00037	
9	F	14	14.034315	4.4E-05			18.998403163	6E-09	
9	F	15	15.018043	6.7E-05			18.998403163	6E-09	
9	F	16	16.0114657	8.9E-06			18.998403163	6E-09	
9	F	17	17.00209524	2.7E-07			18.998403163	6E-09	
9	F	18	18.00093733	5E-07			18.998403163	6E-09	
9	F	19	18.99840316273	9.2E-10	1		18.998403163	6E-09	
9	F	20	19.999981252	3.1E-08			18.998403163	6E-09	
9	F	21	20.9999489	1.9E-06			18.998403163	6E-09	
9	F	22	22.002999	1.3E-05			18.998403163	6E-09	
9	F	23	23.003557	5.4E-05			18.998403163	6E-09	
9	F	24	24.008115	7.8E-05			18.998403163	6E-09	
9	F	25	25.012199	8.1E-05			18.998403163	6E-09	
9	F	26	26.020038	8.3E-05			18.998403163	6E-09	
9	F	27	27.02644	0.0002			18.998403163	6E-09	
9	F	28	28.03534	0.00021			18.998403163	6E-09	
9	F	29	29.04254	0.00054			18.998403163	6E-09	
9	F	30	30.05165	0.00064			18.998403163	6E-09	
9	F	31	31.05971	0.00056			18.998403163	6E-09	
