Atomic Number	Atomic Symbol	Mass Number	Relative Atomic Mass (monoisotopic)	Relative Atomic Mass Uncertainty	Isotopic Composition	Isotopic Composition Uncertainty	Standard Atomic Weight (average mass)	Standard Weight Uncertainty	Notes
81	Tl	205	204.9744278	1.4E-06	0.7048	0.0001	204.3835	0.0015	
82	Pb	208	207.9766525	1.3E-06	0.524	0.001	207.2	0.1	g,r
83	Bi	209	208.9803991	1.6E-06	1		208.9804	1E-05	
84	Po	209	208.9824308	2E-06			209		
85	At	210	209.9871479	8.3E-06			210		
86	Rn	222	222.0175782	2.5E-06			222		
87	Fr	223	223.019736	2.5E-06			223		
88	Ra	226	226.0254103	2.5E-06			226		
89	Ac	227	227.0277523	2.5E-06			227		
90	Th	232	232.0380558	2.1E-06	1		232.0377	0.0004	g
91	Pa	231	231.0358842	2.4E-06	1		231.03588	2E-05	
92	U	238	238.0507884	2E-06	0.992742	1E-05	238.02891	3E-05	g,m
93	Np	237	237.0481736	1.9E-06			237		
94	Pu	244	244.0642053	5.6E-06			244		
95	Am	243	243.0613813	2.4E-06					
96	Cm	247	247.0703541	4.7E-06					
97	Bk	247	247.0703073	5.9E-06					
98	Cf	251	251.0795886	4.8E-06					
99	Es	252	252.08298	5.4E-05					
100	Fm	257	257.0951061	6.9E-06					
101	Md	258	258.0984315	5E-06					
102	No	259	259.10103	0.00011					
103	Lr	262	262.10961	0.00022					
104	Rf	267	267.12179	0.00062					
105	Db	268	268.12567	0.00057					
106	Sg	271	271.13393	0.00063					
107	Bh	272	272.13826	0.00058					
108	Hs	270	270.13429	0.00027					
109	Mt	276	276.15159	0.00059					
110	Ds	281	281.16451	0.00059					
111	Rg	280	280.16514	0.00061					
112	Cn	285	285.17712	0.0006					
113	Nh	284	284.17873	0.00062					
114	Fl	289	289.19042	0.0006					
115	Mc	288	288.19274	0.00062					
116	Lv	293	293.20449	0.0006					
117	Ts	292	292.20746	0.00075					
118	Og	294	294.21392	0.00071					
